feature,win_mean,loss_mean,p_value,cohens_d,abs_d,significant
bow_saw_min,-1.0210000000000004,-2.6216666666666675,0.8667129902237017,0.15963532479916415,0.15963532479916415,False
first_archery_min,-0.8985714285714285,-0.03467532467532491,0.735517017554153,-0.15796101514454347,0.15796101514454347,False
villagers_imperial_age,-2.24,0.94,0.4338357241938098,-0.1576515252195865,0.1576515252195865,False
gather_point_count,-8.2,3.93,0.7321756955093257,-0.1553203254519537,0.1553203254519537,False
scale_barding_armor_min,-1.4340000000000006,-3.568918918918919,0.5983774106085762,0.15015843403952528,0.15015843403952528,False
mil_trained_feudal_age,-0.8266666666666667,0.65,0.5007886586123673,-0.14946890333441054,0.14946890333441054,False
barracks_count,0.13333333333333333,-0.48,0.5460758683356882,0.1477709718567435,0.1477709718567435,False
first_wall_min,-0.17136363636363636,-0.7911340206185568,0.21658161962452382,0.14211964755082218,0.14211964755082218,False
first_barracks_min,-0.3053030303030304,0.2145263157894736,0.36145990899640956,-0.13371255572029075,0.13371255572029075,False
apm_imperial_age,-15.72,-36.65,0.022080168495900977,0.1193955930852474,0.1193955930852474,True
apm_castle_age,4.613333333333333,37.66,0.3490627948312204,-0.10745842384728845,0.10745842384728845,False
blacksmith_min,0.6224285714285713,0.2406521739130436,0.8670832462974905,0.09620234118929262,0.09620234118929262,False
horse_collar_min,-0.9781249999999998,-1.9311764705882353,0.7302842368542874,0.09558640920260876,0.09558640920260876,False
order_count,-9.946666666666667,1.69,0.7276484225649826,-0.09532120547884625,0.09532120547884625,False
bodkin_arrow_min,-0.2307692307692306,0.6248780487804878,0.11553391770796431,-0.08418557727537328,0.08418557727537328,False
double_bit_axe_min,-1.0949999999999998,-0.31651162790697634,0.6183996576907764,-0.07914075346708961,0.07914075346708961,False
mil_trained_dark_age,0.10666666666666667,0.3,0.8957271068367717,-0.07239878804351382,0.07239878804351382,False
fletching_min,1.2882352941176471,0.7110000000000003,0.5869396939048783,0.059042445916273494,0.059042445916273494,False
blacksmith_count,-0.02666666666666667,-0.06,0.5537555748820728,0.05788884294237075,0.05788884294237075,False
first_stable_min,-1.2207317073170734,-1.7666153846153847,0.9327904460160941,0.055626566002800644,0.055626566002800644,False
wall_count,0.02666666666666667,0.54,0.6173363322390517,-0.0533192637962877,0.0533192637962877,False
gold_mining_min,0.899166666666666,0.4862162162162157,0.8362275165983348,0.04668527023777295,0.04668527023777295,False
mil_trained_castle_age,1.3733333333333333,-0.17,0.1645849737557754,0.041213845718402614,0.041213845718402614,False
apm_feudal_age,20.85333333333333,28.28,0.5013410393380642,-0.025842569622261537,0.025842569622261537,False
villagers_feudal_age,0.76,0.88,0.424560731705922,-0.012790367833141367,0.012790367833141367,False
stance_count,5.8933333333333335,4.72,0.030392100556132055,0.004918257944127765,0.004918257944127765,True
ungarrison_count,0.0,0.0,1.0,0.0,0.0,False
